N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,000",200,+0.27%,100,"4,477,337","5,969,783",52.21,"13,572,854",14.54,9.99,
2,LG에너지솔루션,"454,500","1,000",-0.22%,500,"1,063,530","234,000",3.86,"703,699",308.14,N/A,
3,SK하이닉스,"133,000","2,500",+1.92%,"5,000","968,243","728,002",50.64,"5,378,652",12.02,9.53,
4,삼성전자우,"67,900",400,+0.59%,100,"558,740","822,887",74.76,"1,019,975",13.16,N/A,
5,NAVER,"324,500",0,0.00%,100,"532,339","164,049",55.13,"480,569",3.21,15.22,
6,삼성바이오로직스,"760,000","3,000",+0.40%,"2,500","502,854","66,165",10.50,"51,393",122.50,N/A,
7,LG화학,"640,000","13,000",-1.99%,"5,000","451,791","70,592",49.55,"294,125",16.68,2.93,
8,카카오,"90,600","1,300",-1.41%,100,"404,042","445,962",28.22,"2,839,009",35.67,2.70,
9,현대차,"183,500","1,500",+0.82%,"5,000","392,081","213,668",27.34,"765,540",9.30,2.04,
10,삼성SDI,"557,000","17,000",+3.15%,"5,000","383,018","68,765",44.13,"389,951",34.93,4.54,
11,기아,"79,500",0,0.00%,"5,000","322,264","405,363",35.32,"1,500,253",7.20,5.05,
12,KB금융,"65,100",500,+0.77%,"5,000","270,691","415,808",72.02,"1,243,580",6.22,8.53,
13,POSCO,"283,000","2,500",+0.89%,"5,000","246,739","87,187",52.90,"266,349",4.24,3.61,
14,카카오뱅크,"49,400","2,950",+6.35%,"5,000","234,729","475,159",15.87,"6,250,980",159.87,5.08,
15,셀트리온,"159,500","1,500",+0.95%,"1,000","220,039","137,956",20.61,"610,775",40.59,16.68,
16,현대모비스,"228,500","2,000",-0.87%,"5,000","216,100","94,573",34.29,"199,837",9.20,4.66,
17,신한지주,"41,250",150,+0.36%,"5,000","213,097","516,600",61.97,"1,412,745",5.48,8.20,
18,삼성물산,"111,500","2,000",+1.83%,100,"208,379","186,887",15.80,"451,842",12.69,3.81,
19,LG전자,"124,000","1,000",+0.81%,"5,000","202,923","163,648",28.49,"1,002,185",17.89,13.23,
20,SK이노베이션,"211,500","8,000",+3.93%,"5,000","195,565","92,466",23.49,"715,986","-6,220.59",-13.58,
21,카카오페이,"133,500","1,000",+0.75%,500,"176,152","131,949",42.66,"465,557",-664.18,-17.97,
22,SK,"224,000","1,000",+0.45%,200,"166,094","74,149",21.90,"131,205",26.18,1.11,
23,LG생활건강,"1,028,000","53,000",+5.44%,"5,000","160,555","15,618",42.44,"144,191",21.39,17.92,
24,하나금융지주,"52,400","1,800",+3.56%,"5,000","157,327","300,242",70.87,"1,877,852",4.89,8.96,
25,한국전력,"22,150",250,-1.12%,"5,000","142,195","641,964",14.56,"1,403,215",-13.05,2.91,
26,HMM,"27,800","2,550",+10.10%,"5,000","135,953","489,039",10.28,"22,826,598",3.50,8.93,
27,크래프톤,"273,000","4,500",-1.62%,100,"133,694","48,972",29.48,"316,890",21.40,61.86,
28,삼성생명,"63,900",100,+0.16%,500,"127,800","200,000",12.78,"206,099",8.17,3.53,
29,삼성전기,"166,000","1,000",-0.60%,"5,000","123,992","74,694",29.65,"541,159",12.76,10.92,
30,SK텔레콤,"55,500",200,+0.36%,100,"121,452","218,833",45.02,"540,937",8.61,6.44,
31,LG,"77,000",700,+0.92%,"5,000","121,122","157,301",36.26,"281,678",5.08,7.50,
32,SK바이오사이언스,"148,000","2,000",-1.33%,500,"113,220","76,500",4.97,"582,206",56.99,13.25,
33,엔씨소프트,"501,000","8,500",+1.73%,500,"109,990","21,954",43.85,"265,212",30.93,20.83,
34,KT&G,"80,000",100,+0.13%,"5,000","109,834","137,292",36.29,"271,118",9.22,13.22,
35,아모레퍼시픽,"187,500","6,500",+3.59%,500,"109,674","58,493",30.09,"514,356",72.31,0.78,
36,우리금융지주,"14,900",250,+1.71%,"5,000","108,481","728,061",33.89,"3,874,638",4.56,5.87,
37,하이브,"260,000","3,500",+1.36%,500,"107,519","41,353",16.17,"465,979",92.49,12.52,
38,삼성에스디에스,"138,500","1,500",+1.09%,500,"107,168","77,378",11.39,"141,185",15.77,6.71,
39,대한항공,"30,050",50,+0.17%,"5,000","104,520","347,821",12.57,"3,620,910",14.11,-7.22,
40,삼성화재,"215,500","2,000",+0.94%,500,"102,093","47,375",48.67,"88,785",9.32,4.96,
41,고려아연,"526,000","3,000",-0.57%,"5,000","99,256","18,870",18.35,"32,192",13.15,8.37,
42,S-Oil,"85,200",300,+0.35%,"2,500","95,921","112,583",77.87,"481,532",8.20,-13.07,
43,포스코케미칼,"115,000",500,+0.44%,500,"89,083","77,463",6.47,"331,196",64.21,2.96,
44,두산중공업,"16,850",500,+3.06%,"5,000","87,995","522,224",7.82,"6,251,051",50.00,-37.20,
45,현대중공업,"98,300",300,+0.31%,"5,000","87,264","88,773",2.19,"144,474",-10.73,-7.86,
46,넷마블,"100,500","1,500",-1.47%,100,"86,383","85,954",22.98,"231,932",37.17,6.35,
47,KT,"32,400",50,+0.15%,"5,000","84,600","261,112",39.46,"1,030,034",8.28,4.76,
48,SK아이이테크놀로지,"118,000",500,+0.43%,"1,000","84,131","71,298",10.59,"322,985",77.58,11.00,
49,기업은행,"11,150",100,+0.90%,"5,000","82,990","744,301",13.88,"2,348,588",4.13,6.44,
50,LG이노텍,"325,000","8,000",+2.52%,"5,000","76,918","23,667",22.98,"590,704",10.30,10.20,
51,SK스퀘어,"54,200",500,-0.91%,100,"76,675","141,468",37.88,"1,338,973",N/A,N/A,
52,롯데케미칼,"218,000","1,500",+0.69%,"5,000","74,720","34,275",24.96,"161,862",5.48,1.22,
53,LG디스플레이,"19,300",150,-0.77%,"5,000","69,058","357,816",17.47,"2,897,455",4.37,-0.79,
54,한화솔루션,"34,000",250,+0.74%,"5,000","65,035","191,278",18.32,"1,029,403",8.69,5.30,
55,현대글로비스,"172,500","1,500",+0.88%,500,"64,688","37,500",42.88,"112,769",9.30,12.45,
56,F&F,"841,000","22,000",-2.55%,500,"64,432","7,661",14.65,"40,602",N/A,N/A,
57,SK바이오팜,"78,600",400,-0.51%,500,"61,554","78,313",5.75,"141,118",-152.33,-135.18,
58,한온시스템,"11,450",50,-0.43%,100,"61,120","533,800",17.61,"820,308",20.89,5.09,
59,한국조선해양,"82,700",200,+0.24%,"5,000","58,529","70,773",19.76,"154,874",-4.54,-7.42,
60,LG유플러스,"13,300",100,-0.75%,"5,000","58,069","436,611",35.78,"867,393",14.79,6.46,
61,강원랜드,"26,600",150,+0.57%,500,"56,908","213,940",19.07,"2,034,152",-172.73,-7.92,
62,CJ제일제당,"373,500","4,000",+1.08%,"5,000","56,227","15,054",22.31,"34,923",12.74,13.50,
63,맥쿼리인프라,"13,800",0,0.00%,0,"55,869","404,846",13.77,"414,474",N/A,N/A,
64,에스디바이오센서,"54,000","2,600",-4.59%,500,"55,767","103,271",10.26,"2,242,674",8.19,139.97,
65,KODEX 200,"37,415",240,+0.65%,0,"55,711","148,900",11.85,"4,988,161",N/A,N/A,
66,미래에셋증권,"8,890",60,-0.67%,"5,000","54,702","615,316",13.70,"1,100,557",6.08,8.94,
67,코웨이,"71,800",200,+0.28%,500,"52,988","73,800",60.81,"144,596",11.89,31.51,
68,현대제철,"39,600",150,+0.38%,"5,000","52,845","133,446",20.70,"523,166",6.06,-2.59,
69,메리츠금융지주,"38,450",650,-1.66%,500,"51,527","134,011",8.94,"409,718",7.24,16.06,
70,SKC,"134,500",500,+0.37%,"5,000","50,933","37,868",16.71,"228,329",27.40,2.21,
71,메리츠화재,"41,800",100,-0.24%,500,"50,421","120,625",12.67,"342,234",8.67,16.91,
72,삼성중공업,"5,490",50,+0.92%,"1,000","48,312","880,000",13.77,"2,829,731",-2.24,-33.06,
73,현대건설,"42,050",250,+0.60%,"5,000","46,825","111,356",23.19,"674,135",27.96,1.84,
74,금호석유,"153,500","1,000",+0.66%,"5,000","46,504","30,296",19.85,"168,727",2.75,20.18,
75,삼성엔지니어링,"23,350",250,+1.08%,"5,000","45,766","196,000",36.39,"1,063,488",12.92,17.32,
76,한국금융지주,"79,500","1,200",+1.53%,"5,000","44,302","55,726",34.62,"159,403",2.72,16.27,
77,한국타이어앤테크놀로지,"35,450","1,000",-2.74%,500,"43,914","123,875",41.28,"383,169",6.65,5.12,
78,DB손해보험,"61,800",200,-0.32%,500,"43,754","70,800",43.05,"329,699",5.49,9.08,
79,일진머티리얼즈,"93,400",100,-0.11%,500,"43,068","46,111",13.13,"296,712",67.78,7.23,
80,메리츠증권,"6,150",20,+0.33%,"1,000","41,926","681,731",13.27,"1,226,447",6.24,13.08,
81,유한양행,"56,600",600,-1.05%,"1,000","41,449","73,231",17.31,"309,294",42.91,11.06,
82,현대중공업지주,"49,500",150,+0.30%,"1,000","39,102","78,993",16.54,"156,033",-11.47,-8.12,
83,오리온,"98,500","3,500",-3.43%,500,"38,943","39,536",37.14,"191,598",16.38,15.50,
84,쌍용C&E,"7,690",0,0.00%,100,"38,747","503,860",3.20,"519,708",18.80,7.92,
85,GS,"41,500",450,+1.10%,"5,000","38,560","92,915",19.10,"203,709",3.77,-2.82,
86,아모레G,"46,550",650,+1.42%,500,"38,384","82,458",16.00,"325,597",26.14,0.31,
87,삼성증권,"42,250",50,+0.12%,"5,000","37,729","89,300",29.98,"291,495",3.98,9.89,
88,두산밥캣,"37,550",50,+0.13%,500,"37,644","100,249",25.29,"216,479",10.27,6.15,
89,삼성카드,"32,300",100,-0.31%,"5,000","37,422","115,859",7.29,"116,907",7.97,5.69,
90,한진칼,"54,900",800,-1.44%,"2,500","36,640","66,739",14.94,"176,387",-62.53,-19.55,
91,이마트,"127,500","2,000",-1.54%,"5,000","35,542","27,876",34.00,"282,302",2.57,4.05,
92,NH투자증권,"11,800",0,0.00%,"5,000","35,050","297,034",17.71,"580,406",4.33,10.32,
93,현대차2우B,"95,900",100,+0.10%,"5,000","34,990","36,485",63.01,"85,292",4.86,N/A,
94,한국항공우주,"35,250",450,+1.29%,"5,000","34,360","97,475",13.19,"977,636",239.80,6.39,
95,GS건설,"39,250",350,+0.90%,"5,000","33,591","85,581",26.12,"497,727",9.56,7.68,
96,TIGER 차이나전기차SOLACTIVE,"15,750",480,+3.14%,0,"33,516","212,800",0.30,"5,590,113",N/A,N/A,
97,한국가스공사,"36,300",500,+1.40%,"5,000","33,510","92,313",10.41,"289,541",7.54,-2.24,
98,팬오션,"6,090",10,-0.16%,"1,000","32,555","534,570",12.49,"12,590,623",10.46,3.25,
99,DB하이텍,"71,400",300,-0.42%,"5,000","31,701","44,399",24.39,"1,425,689",14.92,23.07,
100,한미약품,"257,000","2,500",-0.96%,"2,500","31,657","12,318",13.30,"18,704",40.94,1.65,
101,호텔신라,"80,400",200,-0.25%,"5,000","31,555","39,248",14.49,"802,927",-30.86,-36.74,
102,한미사이언스,"45,650",600,-1.30%,500,"31,327","68,624",2.31,"71,607",57.86,3.47,
103,현대오토에버,"113,500","1,500",+1.34%,500,"31,126","27,424",2.02,"119,563",41.20,11.09,
104,롯데지주,"28,450",0,0.00%,200,"29,847","104,909",7.71,"118,546",14.83,-3.03,
105,한전기술,"76,900","2,400",+3.22%,200,"29,391","38,220",2.26,"600,409",289.10,N/A,
106,BGF리테일,"167,500","3,500",+2.13%,"1,000","28,951","17,284",31.76,"46,825",20.96,18.60,
107,현대미포조선,"72,200",400,+0.56%,"5,000","28,838","39,942",10.45,"215,927",-18.76,-0.84,
108,한화시스템,"15,000",100,+0.67%,"5,000","28,338","188,919",2.09,"457,891",18.18,9.35,
109,CJ대한통운,"123,000",500,-0.40%,"5,000","28,059","22,812",20.96,"43,202",95.27,3.89,
110,KCC,"312,500","6,000",+1.96%,"5,000","27,770","8,886",10.87,"167,842",3.94,12.79,
111,GS리테일,"26,300",150,+0.57%,"1,000","27,541","104,718",7.97,"337,000",2.66,7.50,
112,한화생명,"3,160",15,-0.47%,"5,000","27,446","868,530",7.92,"2,027,954",3.59,1.90,
113,BNK금융지주,"8,350",50,+0.60%,"5,000","27,216","325,935",40.38,"1,122,201",3.34,6.11,
114,제일기획,"23,500",500,+2.17%,200,"27,035","115,041",31.44,"257,847",13.85,16.11,
115,동서,"26,650",200,-0.74%,500,"26,570","99,700",2.78,"73,723",25.02,8.61,
116,에스원,"69,100",100,+0.14%,500,"26,257","37,999",53.11,"59,909",17.27,10.48,
117,키움증권,"99,400",200,-0.20%,"5,000","26,062","26,220",25.35,"88,992",2.86,27.63,
118,신세계,"260,500","1,500",-0.57%,"5,000","25,647","9,845",25.53,"98,506",9.79,-2.81,
119,현대해상,"28,400",850,+3.09%,500,"25,390","89,400",27.32,"738,336",6.63,7.13,
120,한솔케미칼,"218,500","1,500",-0.68%,"5,000","24,767","11,335",41.86,"64,755",17.05,24.50,
121,포스코인터내셔널,"19,900",100,-0.50%,"5,000","24,552","123,375",6.91,"496,371",8.04,7.69,
122,CJ,"83,600","1,100",+1.33%,"5,000","24,392","29,177",17.41,"49,394",72.44,1.89,
123,하이트진로,"34,750",250,+0.72%,"5,000","24,371","70,134",5.49,"690,009",47.34,8.23,
124,롯데쇼핑,"85,700",100,+0.12%,"5,000","24,243","28,289",11.28,"77,471",-9.11,-7.70,
125,LG화학우,"313,500","4,500",+1.46%,"5,000","24,104","7,689",72.05,"6,792",8.17,N/A,
126,한화에어로스페이스,"47,300","1,350",+2.94%,"5,000","23,948","50,630",17.12,"450,305",8.59,4.78,
127,두산퓨얼셀,"35,950",150,+0.42%,100,"23,545","65,494",13.88,"434,499",719.00,4.18,
128,현대차우,"95,500",500,+0.53%,"5,000","23,261","24,357",58.60,"32,140",4.84,N/A,
129,대우건설,"5,590",10,-0.18%,"5,000","23,233","415,623",10.84,"1,482,262",4.75,11.06,
130,만도,"48,700","2,000",+4.28%,"1,000","22,868","46,957",19.08,"822,187",10.26,0.37,
131,대우조선해양,"21,100",200,-0.94%,"5,000","22,638","107,291",4.69,"255,677",-1.53,2.27,
132,DL이앤씨,"116,000","2,500",+2.20%,"5,000","22,456","19,359",22.85,"222,308",N/A,N/A,
133,한화,"29,550",300,+1.03%,"5,000","22,150","74,959",15.82,"209,379",5.00,4.79,
134,SK케미칼,"125,500","4,500",-3.46%,"5,000","22,114","17,621",18.02,"103,988",59.82,30.49,
135,씨에스윈드,"51,500","1,000",+1.98%,500,"21,718","42,171",11.43,"410,644",46.73,8.19,
136,OCI,"90,500",0,0.00%,"5,000","21,584","23,849",15.30,"245,256",10.79,-9.89,
137,녹십자,"184,000","7,500",-3.92%,"5,000","21,503","11,687",23.15,"81,977",24.93,7.48,
138,KODEX 레버리지,"20,905",265,+1.28%,0,"21,239","101,600",2.10,"32,739,826",N/A,N/A,
139,TIGER 200,"37,420",255,+0.69%,0,"20,974","56,050",0.65,"1,794,966",N/A,N/A,
140,현대로템,"18,850",200,-1.05%,"5,000","20,573","109,142",3.69,"631,025",65.68,2.84,
141,효성첨단소재,"456,500","1,500",-0.33%,"5,000","20,451","4,480",9.76,"74,911",9.52,0.03,
142,농심,"332,000",0,0.00%,"5,000","20,194","6,083",12.83,"34,694",18.92,7.50,
143,TIGER 미국나스닥100,"77,740",310,-0.40%,0,"20,119","25,880",0.05,"227,969",N/A,N/A,
144,롯데정밀화학,"77,800","1,600",+2.10%,"5,000","20,072","25,800",20.94,"213,712",4.71,12.65,
145,KODEX 200선물인버스2X,"2,415",30,-1.23%,0,"19,489","807,000",6.93,"372,344,843",N/A,N/A,
146,영원무역,"43,750",200,+0.46%,500,"19,386","44,311",28.47,"122,584",8.41,8.03,
147,휠라홀딩스,"31,650",850,-2.62%,"1,000","19,228","60,752",43.55,"485,254",8.18,10.94,
148,효성티앤씨,"440,000","1,500",+0.34%,"5,000","19,042","4,328",15.47,"81,034",2.70,25.10,
149,후성,"20,450",0,0.00%,500,"18,938","92,607",6.55,"2,182,061",68.86,2.79,
150,솔루스첨단소재,"61,600","3,200",+5.48%,100,"18,843","30,590",7.45,"2,890,001",-242.52,-5.10,
151,KODEX MSCI Korea TR,"12,075",90,+0.75%,0,"18,777","155,500",3.66,"371,349",N/A,N/A,
152,현대백화점,"77,200",300,-0.39%,"5,000","18,067","23,402",18.53,"124,736",11.68,1.65,
153,대웅제약,"155,000","1,500",+0.98%,"2,500","17,959","11,587",6.43,"91,394",155.62,2.38,
154,현대위아,"65,600",100,-0.15%,"5,000","17,840","27,195",6.94,"143,075",48.88,1.96,
155,코오롱인더,"62,400",500,-0.79%,"5,000","17,172","27,519",19.97,"169,033",9.68,9.70,
156,효성,"81,200",900,-1.10%,"5,000","17,110","21,071",7.97,"53,561",4.42,-2.26,
157,한샘,"72,700",0,0.00%,"1,000","17,109","23,534",16.24,"83,931",21.39,10.83,
158,TIGER MSCI Korea TR,"15,170",115,+0.76%,0,"16,808","110,800",11.55,"42,788",N/A,N/A,
159,오뚜기,"453,500","8,000",-1.73%,"5,000","16,652","3,672",11.62,"4,358",15.05,7.93,
160,JB금융지주,"8,450",30,+0.36%,"5,000","16,645","196,983",42.06,"357,074",3.48,10.06,
161,한미반도체,"33,550",50,-0.15%,200,"16,594","49,460",5.89,"406,229",19.95,21.03,
162,대웅,"28,300",450,-1.57%,500,"16,454","58,142",4.30,"99,523",15.58,15.10,
163,DGB금융지주,"9,680",20,-0.21%,"5,000","16,373","169,146",50.00,"601,759",3.46,6.93,
164,동원시스템즈,"55,900",500,-0.89%,"5,000","16,316","29,188",13.20,"57,544",25.32,10.97,
165,일진하이솔루스,"43,950",700,+1.62%,500,"15,960","36,313",1.81,"209,592",82.00,34.27,
166,더존비즈온,"51,900",200,+0.39%,500,"15,769","30,383",38.66,"88,967",25.40,15.09,
167,LS,"48,800",650,+1.35%,"5,000","15,714","32,200",13.43,"114,949",6.13,3.94,
168,KODEX 단기채권,"103,220",5,0.00%,0,"15,684","15,195",0.00,"57,522",N/A,N/A,
169,KODEX 삼성그룹,"9,130",90,+1.00%,0,"15,503","169,800",0.29,"2,205,879",N/A,N/A,
170,아시아나항공,"20,700",650,-3.04%,"5,000","15,403","74,412",7.43,"2,111,084",-3.56,-43.83,
171,아이에스동서,"49,700",200,+0.40%,500,"15,354","30,893",4.03,"88,874",28.47,10.92,
172,롯데칠성,"164,000","2,500",+1.55%,500,"15,217","9,279",9.52,"62,291",19.38,-1.00,
173,한전KPS,"33,700",0,0.00%,200,"15,165","45,000",7.30,"217,024",12.55,8.23,
174,현대엘리베이,"37,000",50,+0.14%,"5,000","15,102","40,815",29.55,"111,603",23.84,9.78,
175,동국제강,"15,500",50,-0.32%,"5,000","14,792","95,433",22.49,"607,599",3.27,3.35,
176,두산,"88,200",600,+0.68%,"5,000","14,574","16,524",11.07,"61,253",-50.81,-34.34,
177,KODEX 종합채권(AA-이상)액티브,"106,115",160,+0.15%,0,"14,274","13,451",0.00,966,N/A,N/A,
178,케이카,"29,600",400,-1.33%,500,"14,234","48,087",18.36,"306,661",49.17,15.11,
179,TIGER 미국S&P500,"13,415",30,-0.22%,0,"13,509","100,700",0.00,"1,764,454",N/A,N/A,
180,TIGER 단기통안채,"100,610",10,+0.01%,0,"13,469","13,387",0.88,"1,003,957",N/A,N/A,
181,LIG넥스원,"61,200","1,300",+2.17%,"5,000","13,464","22,000",6.28,"232,195",14.27,8.86,
182,롯데리츠,"5,450",30,+0.55%,500,"13,242","242,969",9.59,"177,754",34.06,1.68,
183,대한전선,"1,520",85,+5.92%,100,"13,018","856,473",1.45,"46,485,116",42.22,0.92,
184,ESR켄달스퀘어리츠,"6,090",40,+0.66%,"1,000","12,977","213,089",31.82,"162,047",47.21,1.34,
185,현대두산인프라코어,"6,560",10,+0.15%,"1,000","12,952","197,435",9.93,"1,278,117",5.61,6.47,
186,신풍제약,"24,400",600,-2.40%,500,"12,928","52,985",11.12,"425,268","4,066.67",1.72,
187,NHN,"34,400",500,-1.43%,500,"12,906","37,518",19.44,"130,393",39.72,1.35,
188,PI첨단소재,"43,650",600,+1.39%,500,"12,818","29,366",12.57,"235,601",21.91,15.62,
189,한국앤컴퍼니,"13,400",50,-0.37%,500,"12,721","94,935",9.63,"89,763",5.14,5.08,
190,티와이홀딩스,"24,900",0,0.00%,500,"12,681","50,929",5.14,"35,578",2.14,N/A,
191,TIGER 미국테크TOP10 INDXX,"11,730",35,-0.30%,0,"12,610","107,500",0.08,"1,061,892",N/A,N/A,
192,롯데렌탈,"34,300","1,150",+3.47%,"5,000","12,565","36,634",1.69,"153,907",11.89,6.73,
193,LS ELECTRIC,"41,850",150,-0.36%,"5,000","12,555","30,000",17.63,"153,787",15.49,6.15,
194,한일시멘트,"17,950",100,-0.55%,500,"12,432","69,262",2.60,"153,019",11.82,N/A,
195,코리안리,"10,300",50,+0.49%,500,"12,398","120,369",31.83,"337,497",7.89,5.78,
196,롯데관광개발,"17,800",50,-0.28%,500,"12,331","69,276",5.67,"996,569",-6.23,-30.43,
197,에스엘,"25,250",0,0.00%,500,"12,171","48,203",14.90,"95,509",8.37,4.74,
198,DL,"57,600","1,000",+1.77%,"5,000","12,071","20,956",11.67,"68,478",1.83,11.84,
199,명신산업,"23,000",250,+1.10%,500,"12,068","52,470",2.67,"704,716",-9.97,-67.39,
200,솔루엠,"24,050",250,-1.03%,500,"12,026","50,006",8.08,"502,348",44.79,43.26,
